COD_MUN	COD_DEPTO	nbi	msnm
18001	18	26.84626	266
5837	5	67.38367	0
27001	27	89.47171	32
5266	5	5.430319	1566
5045	5	24.53383	28
66170	66	13.2847	1479
15001	15	12.01165	2778
52835	52	48.70277	3
76834	76	15.74559	974
44001	44	49.10156	3
68081	68	22.32622	81
5360	5	8.791079	1578
63001	63	13.21273	1483
70001	70	42.01981	213
76520	76	12.74891	1003
68276	68	9.428273	930
19001	19	18.07366	1738
41001	41	17.70087	442
17001	17	10.0311	2126
76109	76	35.85099	6
5088	5	10.58263	1447
20001	20	32.74492	169
25754	25	16.16411	2555
52001	52	16.1953	2559
50001	50	17.07103	467
23001	23	44.50832	17
66001	66	13.36563	1415
47001	47	29.02846	2
8758	8	24.06808	14
73001	73	16.23216	1286
68001	68	11.55109	960
54001	54	23.24142	325
13001	13	26.0106	1
8001	8	17.71819	32
76001	76	11.00675	991
5001	5	12.42409	1475
11001	11	9.203009	2600
